_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,do_the_photos_capture_any_event_or_incident,do_the_photos_capture_any_event_or_incident:confidence,enter_the_code_at_the_bottom_of_the_above_link,if_there_is_an_event_copy_the_highlighted_keyword_to_here_colored_in_blue_on_each_row,orig__golden,orig_do_the_photos_capture_any_event_or_incident,do_the_photos_capture_any_event_or_incident_gold,do_the_photos_capture_any_event_or_incident_gold_reason,orig_enter_the_code_at_the_bottom_of_the_above_link,enter_the_code_at_the_bottom_of_the_above_link_gold,enter_the_code_at_the_bottom_of_the_above_link_gold_reason,url
253614380,true,golden,25,2/13/2013 02:57:23,No,0.7963,"241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369
241369","

galaxy
madison
random










madison








madison square",TRUE,,No,lighting is not an event. It's just lights put in a park.,,241369,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147d44c2a3754cfe6688d0
253614381,true,golden,23,2/13/2013 03:18:56,No,0.788,"969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192
969192","""flowersbyzoestore""


flowersbyzoestore

flowersbyzoestore, cruise, mint











flowersbyzoestore, TOP




",TRUE,,No,most are spam photos. Not event,,969192,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511498a8c2a3754cfe66ad36
253614382,true,golden,30,2/13/2013 03:41:38,No,0.7208,"971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955
971955","

order


favourite


order
order
order h




order


favourite m"" ""h




3 row

no
971955


favourite",TRUE,,No,no events found,,971955,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51149333c2a3754cfe66a648
253614383,true,golden,24,2/13/2013 03:47:32,No,0.842,"674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174
674174","ippudo




these photos


lunch


golden, ramen, ippudo








ippudo


674174",TRUE,,No,no events found,,674174,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147ca6c2a3754cfe668800
253614384,true,golden,10,2/13/2013 01:05:18,No,0.7012,"616633
616633
616633
616633
616633
616633
616633
616633
616633
616633","
agency pot luck




potlick
potluck
""agencypotluck"" ""potluck""""borscht"" ""bulbs""""madisonave"" ""serving"" ""armcandy""""essence"" ""agency""
",TRUE,,No,no events found,,616633,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147f06c2a3754cfe668b20
253614385,true,golden,31,2/13/2013 03:37:12,No,0.7878,"780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287
780287","


""bunch"" ""esteem


pets














pie pets esteem zombie roasted phil peter bunch mteerie grown


random





",TRUE,,No,no events in a single row,,780287,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114967bc2a3754cfe66aaac
253614386,true,golden,31,2/13/2013 03:49:14,No,0.957,"724616
724616
724616
724616
724616
724616
892342
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616
724616","
random
king meets art night lmfao dead half












no unique activity














724616",TRUE,,No,no events in a single row,,724616,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148558c2a3754cfe6692e0
253614387,true,golden,29,2/13/2013 03:41:38,No,0.8012,"70515
70515
70515
gogooog
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
70515
388523
70515
70515","love halal city carnegiehall chocolate waves m favourite skating


gogooog
love





photos






no unique
love halal carnegiehall m







388523

",TRUE,,No,no events in a single row,,70515,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147a2ac2a3754cfe668570
253614388,true,golden,32,2/13/2013 03:23:17,No,0.8351,"341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814
341814","



dsfdsfds xvdgds dvdsgds sdvsdgds







love








341814
wedding


wedding



no unique activity
love
love bachelorette newyorkcity gansevoort subway wedding square today bestfriend",TRUE,,No,No Interesting events,,341814,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147e9ac2a3754cfe668aac
253614389,true,golden,33,2/13/2013 03:36:34,No,0.9148,"874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
87480
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801
874801","
random





fdsfds dfdsfd















Coffee, Travel








",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,874801,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147ecbc2a3754cfe668aef
253614390,true,golden,28,2/13/2013 03:04:55,No,0.9603,"954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
561951
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051
954051","
cut lmaoo love yumm like  needed monday show dead


cut lmaoo love yumm like needed monday show dead













random








",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,954051,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114a2edc2a3754cfe66b919
253614391,true,golden,38,2/13/2013 03:41:26,No,0.9103,"327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
327718
58760","
























327718
masada cum art picasso kadin shower uyuyan ground ya piece
random









Masada cum Art picasso kadin shower uyuyan ground ya piece",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,327718,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511493ffc2a3754cfe66a724
253614392,true,golden,24,2/13/2013 03:03:32,No,0.755,"638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306
638306","

donny





donny cousin white





donny

random
638306
Donny, cousin, apartment, party, white, one, sweetheart, ninja
cousin


no
",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,638306,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511490a4c2a3754cfe66a2b1
253614393,true,golden,29,2/13/2013 03:25:19,No,0.8417,"986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139
986139","



brooklyn


holidayshopping







brooklyn
BROOKLYN, STREET ART



Art, Travel







",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,986139,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147f92c2a3754cfe668c12
253614394,true,golden,2,2/13/2013 01:04:46,No,1.0,"677854
677854","
",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,677854,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114a4d9c2a3754cfe66bb56
253614395,true,golden,28,2/13/2013 03:14:41,No,0.8031,"997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
545160
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204
997204","y


xzccxz xvxzxcxz zxxzxx xvvdfgvd xdvxdxdv bdvd


touring
one







no unique activity

nasty
one squeeze touring church


997204



one charge ram squeeze touring bc kill nasty church fool

",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,997204,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148e8bc2a3754cfe66a0a1
253614396,true,golden,30,2/13/2013 03:48:25,No,0.9173,"626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280
626280","









hurricane
Reunited








no unique activity



626280




626280",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,626280,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148646c2a3754cfe669477
253614397,true,golden,28,2/13/2013 03:50:14,No,0.8571,"182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846
182846","
182846



show



ma wif sittin set directioner love payne show girlies

















182846",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,182846,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148bb6c2a3754cfe669bc7
253614398,true,golden,27,2/13/2013 03:43:27,No,0.875,"212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147
212147","




real niggas thv brunch





real niggas thv brunch


random







no unique activity

brunch

",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,212147,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511495bcc2a3754cfe66a957
253614399,true,golden,25,2/13/2013 03:14:10,No,0.9262,"593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
593335
150178
593335
593335
593335","
random
future ooo
















no unique activity




",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,593335,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148fc5c2a3754cfe66a1d8
253614400,true,golden,30,2/13/2013 03:15:50,No,0.7185,"562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
Event 511486dcc2a3754cfe669547 not found
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949
562949","
sunday,nicks,frio,picoftheday,dinna,crashed











""sunday"" ""nicks""  ""frio"" ""frio"" ""picoftheday""""dinna""""crashed""
nicks


picoftheday





nicks picoftheday
nicks




",TRUE,,No,No rows are consistently describing something happening at the same place,,562949,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511486dcc2a3754cfe669547
253614401,true,golden,35,2/13/2013 03:41:38,No,0.9647,"623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
672274
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959
623959","
random



czxccxz


















instadaily
newyorkcity picoftheday photooftheday








instatags",TRUE,,No,Not a event. Notice the captions. It's basically some crazy people uploading a lot of pics in a row,,623959,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148054c2a3754cfe668cb1
253614402,true,golden,25,2/13/2013 03:39:15,No,0.7954,"721667
721667
721667
gogooog
721667
721667
721667
721667
721667
721667
721667
721667
721667
721667
721667
721667
721667
721667
721667
721667
388523
721667
721667
721667
721667","mymuthafuckinbirthday
random
mymuthafuckinbirthday
gogooog




florida





mymuthafuckinbirthday l wat dinner sticky  love temple

are, they, events

mymuthafuckinbirthday florida

388523



florida",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,721667,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148e92c2a3754cfe66a0b4
253614403,true,golden,25,2/13/2013 03:31:59,No,0.8827,"878297
878297
878297
878297
878297
878297
878297
878297
878297
878297
878297
878297
878297
878297
878297
878297
309743
878297
878297
878297
878297
878297
878297
878297
878297","

two








beautiful



no unique activity







3 rows
",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,878297,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511482e3c2a3754cfe668f80
253614404,true,golden,30,2/13/2013 03:20:22,No,1.0,"836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798
836798","
night

night  lesson dfdsds vffg dgdgg dvdg




















night lesson yolo bon snapchat addict trade zone goodnight plaid




",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,836798,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148f04c2a3754cfe66a14e
253614405,true,golden,32,2/13/2013 03:33:07,No,0.7715,"482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521
482521","love








birthdaygirl birthday









no

love birthdaygirl takin birthday caring tonight
lola
birthdaygirl


482521




",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,482521,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114841dc2a3754cfe6690e6
253614406,true,golden,27,2/13/2013 03:41:38,No,0.8913,"913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918
913918","

december




december







random


no unique activity
Christmas




913918

sometimes",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,913918,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148d07c2a3754cfe669df9
253614407,true,golden,34,2/13/2013 03:48:25,No,0.8064,"780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
780718
721667
780718","
780718

tea still totes santa skin  cottage feliz  navidad items




tea santa cottage feliz navidad

Happy Holidays





tea"" still santa cottage feliz ""navidad


random


tea

no unique activity

780718





tea
780718",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,780718,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511480acc2a3754cfe668d92
253614408,true,golden,29,2/13/2013 03:16:20,No,0.9175,"739998
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362
952362","












seen mc ve



donald ve mc










world",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,952362,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511496dfc2a3754cfe66ab1c
253614409,true,golden,20,2/13/2013 02:35:52,No,0.7964,"30945
30945
30945
30945
30945
30945
30945
30945
Event 5114961dc2a3754cfe66aa23 not found
30945
30945
30945
30945
30945
30945
30945
30945
30945
18569
30945","stones,powder,kale,keith,peruse,two,candlelight,seaweed,rolling



ffsfd fsdfsdvfs vds
stones powder kale keith peruse two candlelight seaweed rolling










stones powder kale candlelight seaweed


",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,30945,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114961dc2a3754cfe66aa23
253614410,true,golden,35,2/13/2013 03:43:27,No,0.7618,"649782
649782
649782
gogooog
649782
649782
649782
649782
649782
892342
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782
649782","fidi

wolfofwallstreet
gogooog



exploringtheneighborhood


exploringtheneighborhood, fidi, love, treatment, filming






fidi filming





exploringtheneighborhood"" ""fidi ""love""  ""treatment ""wolfofwallstreet ""filming selfie""   texture dicaprio""melissa""




649782





",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,649782,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148b5fc2a3754cfe669ad9
253614411,true,golden,24,2/13/2013 03:32:48,No,0.7888,"364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237
364237","y


streets













364237
random




",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,364237,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511481c2c2a3754cfe668e8c
253614412,true,golden,29,2/13/2013 03:39:44,No,0.8682,"110952
645013
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952
110952","














part today li gettin nosleep cc items rob








110952
ROB, ITEMS, CC, NO SLEEP, GETTIN, LI, TODAY, PART

no
part",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,110952,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114856cc2a3754cfe66933a
253614413,true,golden,30,2/13/2013 03:33:07,No,0.8376,"646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256
646256","protest



even protest smiles cloudy mohid thread rain lotos mac








smiles









3 row

646256



",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,646256,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51149aa1c2a3754cfe66af3e
253614414,true,golden,20,2/13/2013 03:20:26,No,0.7989,"699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699264
699269
699264
699264","
random
birthday






birthday


https://maps.googleapis.com/maps/api/staticmap?zoom=13&size=300x300&markers=color:blue%7Clabel:S%7C40.73297324,-73.98609448&sensor=false




Interesting ,quai ,sky ,roadtrip, dream, birthday, true come

",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,699264,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148cc8c2a3754cfe669dd6
253614415,true,golden,19,2/13/2013 03:47:32,No,0.9435,"199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970
199970","




madison





em madison square


199970


no
199970",TRUE,,No,"No rows are consistently describing an event and note even some rows are probabily events, we need THREE photos on a single row to be qualified!",,199970,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147d93c2a3754cfe668906
